Character_Position,Chapter,Character,Pinyin,Radical,Radical_Meaning,Additional_Components,Classical_Translation,Structural_Translation_Based_on_Radicals,Usage_Notes,Etymology_Notes
49,1,謂,wèi,言,speech/words,胃 (stomach),to call/say,"speech from stomach - deep speaking","To call, to say, to designate",Speech originating from deep within
50,1,之,zhī,丿,slash,,"of, 's (possessive)","connecting slash - of","Possessive marker, of",Third use of grammatical connector
51,1,玄,xuán,玄,dark/black,,mysterious/profound,"dark color - profound mystery","Mysterious, dark, profound",Original meaning was dark color
52,1,玄,xuán,玄,dark/black,,mysterious/profound,"dark mystery - even more profound","Mystery within mystery",Second use deepening the mystery
53,1,之,zhī,丿,slash,,"of, 's (possessive)","connecting slash - of","Of, possessive connector",Fourth use of grammatical relationship
54,1,又,yòu,又,hand/again,,again/also,"hand acting again - repetition","Again, also, furthermore",Hand doing something again
55,1,玄,xuán,玄,dark/black,,mysterious/profound,"profound darkness - ultimate mystery","The deepest mystery",Third use - ultimate profundity
56,1,眾,zhòng,目,eye,豖 (pig),crowd/multitude,"eyes like pig herd - many watching","Multitude, many, crowd",Many eyes watching like herd
57,1,妙,miào,女,woman,少 (young/few),mysterious/wonderful,"young woman - subtle wonders","Mysterious wonders, subtleties",Second use of subtle mystery
58,1,之,zhī,丿,slash,,"of, 's (possessive)","connecting slash - of","Of the, possessive",Fifth use of grammatical connector
59,1,門,mén,門,gate/door,,gate/entrance,"doorway opening - entrance","Gate, door, entrance",Physical opening for passage
