Loc,1,1.p,2,2.p,3,3.p,4,4.p,,,,,,,,
54,又,yòu,以,yi3,夫,fu1,,,,,,,,,,
55,玄,xuán,聖,sheng4,志,zhi4,,,,,,,,,,
56,眾,zhòng,人,rén,者,zhě,,,,,,,,,,
57,妙,miào,處,chu4,不,bu4,,,,,,,,,,
58,之,zhī,無,wú,敢,gan3,,,,,,,,,,
59,門,mén,為,wéi,為,wéi,,,,,,,,,,
60,,,之,zhī,也,ye3,,,,,,,,,,
61,,,事,shi4,為,wéi,,,,,,,,,,
62,,,行,xing2,無,wú,,,,,,,,,,
63,,,不,bu,為,wéi,,,,,,,,,,
64,,,言,yan,則,ze2,,,,,,,,,,
65,,,之,zhī,無,wú,,,,,,,,,,
66,,,教,jiao4,不,bu4,,,,,,,,,,
67,,,萬,wan4,,,,,,,,,,,,
68,,,物,wu4,,,,,,,,,,,,
69,,,作,zuo4,,,,,,,,,,,,
70,,,焉,yan1,,,,,,,,,,,,
71,,,而,er2,,,,,,,,,,,,
72,,,不,bu,,,,,,,,,,,,
73,,,辭,ci2,,,,,,,,,,,,
74,,,生,sheng1,,,,,,,,,,,,
75,,,而,er2,,,,,,,,,,,,
76,,,不,bu4,,,,,,,,,,,,
77,,,有,you3,,,,,,,,,,,,
78,,,為,wei2,,,,,,,,,,,,
79,,,而,er2,,,,,,,,,,,,
80,,,不,bu4,,,,,,,,,,,,
81,,,恃,shi4,,,,,,,,,,,,
82,,,功,gong1,,,,,,,,,,,,
83,,,成,cheng2,,,,,,,,,,,,
84,,,而,er2,,,,,,,,,,,,
85,,,弗,fu2,,,,,,,,,,,,
86,,,居,ju1,,,,,,,,,,,,
87,,,夫,fu1,,,,,,,,,,,,
88,,,唯,wei2,,,,,,,,,,,,
89,,,弗,fu2,,,,,,,,,,,,
90,,,居,ju1,,,,,,,,,,,,
91,,,是,shi4,,,,,,,,,,,,
92,,,以,yi3,,,,,,,,,,,,
93,,,不,bu,,,,,,,,,,,,
94,,,去,qu4,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,
