Loc,1,1.p,2,2.p,3,3.p,4,4.p,5,5.p,6,6p,7,7p,8,8p,9,9p,10,10p,11,11p,12,12p,13,13p,14,14p,15,15p,16,16p,17,17p,18,18p,19,19p,20,20p,21,21p,22,22p,23,23p,24,24p,25,25p,26,26p,27,27p,28,28p,29,29p,30,30p,31,31p,32,32p,33,33p,34,34p,35,35p,36,36p,37,37p,38,38p,39,39p,40,40p,41,41p,42,42p,43,43p,44,44p,45,45p,46,46p,47,47p,48,48p,49,49p,50,50p,51,51p,52,52p,53,53p,54,54p,55,55p,56,56p,57,57p,58,58p,59,59p,60,60p,61,61p,62,62p,63,63p,64,64p,65,65p,66,66p,67,67p,68,68p,69,69p,吾,wú,71,71p,72,72p,73,73p,74,74p,75,75p,76,76p,77,77p,78,78p,79,79p,80,80p,81,81p
11,"常
名",cháng,已,jiē,得,dé,似,sì,聖,shèng,之,zhī,久,jiǔ,不,bù,銳,ruì,氣,qì,車,chē,五,wǔ,謂,wèi,聞,wén,深,shēn,吾,wú,之,zhī,大,dà,棄,qì,幾,jī,物,wù,則,zé,驟,zhòu,者,zhě,寥,liáo,聖,shèng,善,shàn,為,tiān xià,其,bù dé,於,yú,惡,wù,敢,gǎn,者,zhě,以,yǐ,安,ān,弱,ruò,若,ruò,不,bù,地,dì,"天
下",tiān,聞,wén,生,shēng,至,wú,得,dé,若,ruò,,xià,天,tiān,又,yòu,心,xīn,死,sǐ,成,chéng,得,qí,惟,wéi,子,zǐ,不,bù,兌,duì,事,shì,察,chá,是,shì,"天
下",tiān,,xià,不,bù,難,nán,脆,cuì,將,jiāng,以,yǐ,夫,fū,怒,nù,為,wéi,能,néng,病,bìng,其,qí,活,huó,若,ruò,是,shì,強,qiáng,抑,yì,堅,jiān,善,shàn,而,ér,不,bù
12,,míng,皆,zhī,之,zhī,"萬
物",wàn,人,rén,門,mén,者,zhě,爭,zhēng,之,zhī,致,zhì,之,zhī,味,wèi,寵,chǒng,名,míng,不,bù kě,以,yǐ,其次,qí cì,偽,wěi,義,yì,何,hé,唯,wéi,新,xīn,雨,yǔ,不,bù,兮,xī,人,rén,數,shǔ,"天
下",xī,不得,yǐ,"天
下",tiān,之,zhī,臣,chén,有,yǒu,生,shēng,平,píng,之,zhī,能,néng,失,shī,得,dé,,xià,道,dào,"萬
物",wàn,堅,yǒu,與,yǔ,沖,chōng,無,wú,道,dào,損,sǔn,善,shàn,之,zhī,之,zhī,其,mǔ,是,shì,孫,sūn,螫,shì,閉,bì,取,qǔ,察,chá,謂,wèi,,xià,之,zhī,善,shàn,於,yú,易,yì,以,yǐ,其,qí,唯,wéi,善,shàn,客,kè,知,zhī,病,bìng,所,suǒ,此,cǐ,使,shǐ,以,yǐ,"萬
物",wàn,之,zhī,強,qiáng,是,shì,不,bù,辯,biàn
13,"無
名",wú,知,shàn,貨,huò,,wù,不,bù,是,shì,以,yǐ,處,chǔ,不,bù,柔,róu,用,yòng,令,lìng,辱,rǔ,曰,yuē,"可
識",shí,觀,guān,畏,wèi,六,liù,民,mín,相,xiāng,恍,huǎng,少,shǎo,不,bù,明,míng,獨,dú,終,zhōng,不用,bù yòng,,cháng,已,tiān xià,,xià,故,gù,侯,hóu,力,lì,而,ér,大,dà,必,bì,守,shǒu,德,dé,一,yī,"萬
物",wàn,若,ruò,,wù,無,rù,亡,wáng,其,qí,道,dào,其,qí,之,zhī,者,zhě,徒,tú,是,shì,母,yǐ,畏,wèi,以,yǐ,猛,měng,其,qí,"天
下",tiān,其,qí,早,zǎo,其,qí,牝,pìn,人,rén,其,qí,泮,pàn,愚,yú,善,shàn,大,dà,勝,shèng,不,bù,莫,mò,是,shì,居,jū,兩,liǎng,民,mín,饑,jī,,wù,下,xià,者,zhě,以,yǐ,用,yòng,辯,biàn
14,,míng,善,zhī,使,shǐ,之,zhī,仁,rén,謂,wèi,其,qí,眾,zhòng,"可
長",kě,能,néng,埏,shān,人口,rén kǒu,若,ruò,希,xī,,fū,復,fù,之,zhī,親,qīn,復,fù,迎,yíng,唯,wéi,則,zé,終,zhōng,自,zì,立,lì,日,rì,籌,chóu,谿,dé,"天
下",shén qì,其,qí,有,yǒu,王,wáng,自,zì,不,bù,樂,yuè,固,gù,之,zhī,是,shì,以,yǐ,,wù,存,cún,"萬
物",wàn,有,wú,孰,shú,用,yòng,戎,róng,出,chū,以,yǐ,吾,wú,十,shí,以,yǐ,以,zhī,大,dà,祭,jì,獸,shòu,門,mén,,xià,民,mín,服,fú,鬼,guǐ,牝,pìn,之,zhī,易,yì,其,qí,之,zhī,下,xià,故,gù,敵,dí,敢,gǎn,能,néng,以,yǐ,無,wú,者,zhě,"常
畏",cháng,民,mín,草,cǎo,者,zhě,莫,mò,聖,shèng,使,shǐ,者,zhě
15,"天
地",tiān dì,之,wéi,民,mín,宗,zōng,以,yǐ,"天
地",tiān,不,bù,人,rén,,cháng,嬰,yīng,埴,zhí,爽,shuǎng,驚,jīng,搏,bó,夫,wéi,夫,fū,其次,qí cì,不,bù,孝,xiào,若,ruò,惚,hū,得,dé,日,rì,是,shì,而,ér,行,xíng,策,cè,"常
德",bù,,bù,事,shì,道,dào,若,ruò,勝,shèng,辭,cí,與,yǔ,強,qiáng,"萬
物",wàn,以,yǐ,寧,níng,生,shēng,若,ruò,,wù,入,jiān,病,bìng,不,bù,馬,mǎ,彌,mí,至,zhì,善,shàn,有,yǒu,"萬
物",wàn,知,qí,道,dào,祀,sì,不,bù,挫,cuò,吾,wú,缺,quē,早,zǎo,不,bù,"常
以",cháng,所,suǒ,為,wéi,微,wēi,民,mín,之,zhī,似,shì,者,zhě,進,jìn,行,xíng,不,bù,厭,yàn,或,huò,,wèi,之,zhī,木,mù,舉,jǔ,之,zhī,人,rén,民,mín,不,bù
16,,zhī,為,shàn,不,bù,挫,cuò,百,bǎi,,dì,自,zì,之,zhī,保,bǎo,兒,ér,以,yǐ,馳,chí,寵,chǒng,之,zhī,唯,bù kě,物,wù,侮,wǔ,和,hé,慈,cí,何,hé,惚,hū,多,duō,孰,shú,者,zhě,不,bù,不,bù,善,shàn,,lí,神器,kě,好,hào,者,zhě,能,néng,者,zhě,功,gōng,餌,ěr,之,zhī,,wù,無,wú,神,shén,於,yú,亡,wáng,負,fù,無,wú,甚,shèn,窮,qióng,生,shēng,遠,yuǎn,於,yú,之,zhī,三,sān,,wù,其,zǐ,甚,shèn,不,bù,據,jù,其,qí,何,hé,缺,quē,服,fú,神,shén,,yǐ,保,bǎo,大,dà,易,yì,之,zhī,故,gù,不,bù,不,bù,寸,cùn,言,yán,病,bìng,其,qí,利,lì,死,sǐ,難,nán,之,zhī,之,zhī,能,néng,執,zhí,重,zhòng,善,shàn
17,之,shǐ,善,sī,為,wéi,其,qí,姓,xìng,根,gēn,生,shēng,所,suǒ,金,jīn,乎,hū,為,wéi,騁,chěng,為,wéi,不,bù,不可,shí,芸,yún,之,zhī,有,yǒu,絕,jué,人,rén,兮,xī,則,zé,為,wéi,不,bù,改,gǎi,離,lí,閉,bì,不,fù,不,wéi,還,huán,不,bù,守,shǒu,強,qiáng,成,chéng,過,guò,將,jiāng,將,jiāng,德,dé,得,dé,有,yǒu,下,xià,陰,yīn,間,shì,愛,ài,大,dà,於,yú,其,qí,無,wú,不,bù,人,rén,莫,mò,子,jì,夷,yí,輟,chuò,攫,jué,銳,ruì,以,yǐ,禍,huò,謂,wèi,非,fēi,靜,jìng,美,měi,於,yú,散,sàn,難,nán,能,néng,肖,xiào,與,yǔ,而,ér,有,yǒu,聖,shèng,所,suǒ,或,huò,而,ér,治,zhì,生,shēng,有,yǒu,勝,shèng,左,zuǒ,死,sǐ,知,zhī
18,始,yǒu,斯,bù,盜,dào,銳,ruì,為,wéi,綿,mián,故,gù,惡,wù,玉,yù,滌,dí,器,qì,田,tián,下,xià,得,dé,識,gù,芸,yún,信,xìn,孝,xiào,巧,qiǎo,之,zhī,其中,qí zhōng,惑,huò,此,cǐ,彰,zhāng,周,zhōu,輜,zī,無,wú,離,guī,"可
為",yě,師,shī,處,chǔ,之,zhī,知,zhī,而,ér,客,kè,欲,yù,自,zì,上,shàng,一,yī,有,yǒu,士,shì,而,ér,吾,yǐ,必,bì,直,zhí,郊,jiāo,知,zhī,為,wéi,善,shàn,之,zhī,不,bù,既,zhī,而,ér,修,xiū,鳥,niǎo,解,jiě,知,zhī,兮,xī,之,zhī,其,qí,勝,shèng,言,yán,其,qí,為,wéi,治,zhì,為,wéi,若,ruò,善,shàn,退,tuì,宗,zōng,人,rén,生,shēng,害,hài,為,wéi,以,yǐ,也,yě,餘,yú,其,qí,契,qì,而,ér,者,zhě
19,"有
名",míng,不,shàn,不,bù,解,jiě,芻,chú,綿,mián,能,néng,故,gù,滿,mǎn,除,chú,當,dāng,獵,liè,得,dé,名,míng,故,qiáng,各,gè,不足,bù zú,慈,cí,棄,qì,所,suǒ,有,yǒu,是,shì,者,zhě,自,zì,行,xíng,重,zhòng,關,guān,復,yú,,wéi,之,zhī,君,jūn,"萬
物",wàn,足,zú,"不
名",bù,止,zhǐ,廢,fèi,化,huà,德,dé,以,yǐ,生,shēng,聞,wén,抱,bào,是,zhī,大,dà,若,ruò,禍,huò,彌,mí,無,wú,者,zhě,生,shēng,尊,zūn,知,qí,民,mín,之,zhī,不,bù,其,qí,其,qí,福,fú,重,zhòng,鬼,guǐ,牡,mǔ,可以,kě yǐ,細,xì,之,zhī,以,yǐ,百,bǎi,肖,xiào,用,yòng,尺,chǐ,事,shì,不,bù,夫,fū,天,tiān,奇,qí,其,qí,柔,róu,者,zhě,無,wú,而,ér,不,bù,不,bù
20,,wàn,善,yǐ,見,jiàn,其,qí,狗,gǒu,若,ruò,長,cháng,幾,jī,堂,táng,玄,xuán,其,qí,令人,lìng rén,之,zhī,曰,yuē,強,wéi,復,fù,焉,yān,國,guó,利,lì,畏,wèi,象,xiàng,以,yǐ,"天
地",tiān,伐,fá,而,ér,雖,suī,楗,jiàn,歸,yīng,也,zhě,所,suǒ,子,zǐ,,wù,者,zhě,,míng,故,gù,之,zhī,化,huà,無,wú,靈,líng,於,yú,道,dào,陽,yáng,以,wú,費,fèi,屈,qū,莫,mò,少,shǎo,為,wéi,吾,wú,動,dòng,道,dào,其,zǐ,好,hào,於,yú,搏,bó,紛,fēn,然,rán,之,zhī,積,jī,不,bù,以,yǐ,市,shì,"天
下",tiān,於,yú,其,qí,谷,gǔ,久,jiǔ,人,rén,是,shì,有,yǒu,病,bìng,唯,wéi,之,zhī,者,zhě,上,shàng,脆,cuì,損,sǔn,以,yǐ,不,bù,遠,yuǎn,博,bó
21,"萬
物",wù,已,gù,"可
欲",kě,紛,fēn,"天
地",tiān,存,cún,生,shēng,於,yú,莫,mò,覽,lǎn,無,wú,心,xīn,若,ruò,微,wēi,為,zhī,歸,guī,有,yǒu,家,jiā,盜,dào,亦,yì,恍,huǎng,聖,shèng,,dì,者,zhě,不,bù,有,yǒu,不可,bù kě,於,ér,為,bài,處,chǔ,居,jū,將,jiāng,富,fù,衣,yī,道,dào,必,bì,而,ér,為,wéi,谷,gǔ,無,wú,大,dà,沖,chōng,知,wéi,多,duō,大,dà,大,dà,是,shì,而,ér,亦,yì,之,zhī,而,ér,子,fù,徑,jìng,身,shēn,骨,gǔ,和,hé,哉,zāi,所,suǒ,德,dé,神,shén,靜,jìng,尊,zūn,,xià,未,wèi,智,zhì,王,wáng,矣,yǐ,者,zhě,謂,wèi,君,jūn,以,yǐ,不,bù,所,suǒ,吾,wú,有,yǒu,其,qí,之,zhī,易,yì,責,zé,徙,xǐ,博,bó
22,,zhī,故,yǒu,,yù,和,hé,,dì,用,yòng,是,shì,道,dào,之,zhī,能,néng,有,yǒu,發,fā,驚,jīng,此,cǐ,之,róng,其,qí,不,bù,昏,hūn,賊,zéi,不,bù,兮,xī,人,rén,"天
地",tiān,無,wú,殆,dài,榮,róng,開,kāi,嬰,zhī,者,zhī,荊,jīng,則,zé,自,zì,強,qiáng,養,yǎng,之,zhī,固,gù,欲,yù,而,ér,得,dé,,,笑,xiào,氣,qì,無,zhī,藏,cáng,巧,qiǎo,於,yú,以,yǐ,無,wú,善,shàn,死,sǐ,貴,guì,復,shǒu,朝,chāo,其,qí,弱,ruò,其,qí,以,yǐ,倚,yǐ,重,zhòng,其,qí,為,wéi,行,xíng,難,nán,有,yǒu,多,duō,是,shì,其,qí,為,wéi,行,xíng,夫,fū,其,qí,厭,yàn,惡,wù,得,dé,為,wéi,死,sǐ,不,bù,之,zhī,於,yú,雖,suī,者,zhě
23,之,mǔ,有,wú,使,shǐ,其,qí,之,zhī,之,zhī,以,yǐ,居,jū,能,néng,無,wú,器,qì,狂,kuáng,失,shī,三,sān,容,yù,根,gēn,信,xìn,亂,luàn,無,wú,"可
不",kě,其中,qí zhōng,抱,bào,,dì,功,gōng,可以,kě yǐ,觀,guān,善,shàn,兒,qí,敗,zhí,棘,jí,貴,guì,賓,bīn,行,xíng,"萬
物",wàn,出,chū,興,xīng,作,zuò,無,wú,一,yī,,,之,zhī,以,yǐ,為,yǒu,必,bì,若,ruò,不,bù,聖,shèng,不,bù,之,zhī,地,dì,德,dé,守,qí,甚,shèn,德,dé,筋,jīn,光,guāng,此,cǐ,福,fú,積,jī,神,shén,下,xià,可以,kě yǐ,事,shì,治,zhì,故,gù,以,yǐ,細,xì,之,zhī,無,wú,唯,wéi,病,bìng,是,shì,孰,shú,執,zhí,是,shì,也,yě,足,zú,弱,ruò,人,rén,有,yǒu,不,bù
24,母,gù,無,xiāng,民,mín,光,guāng,間,jiān,不,bù,聖,shèng,善,shàn,守,shǒu,疵,cī,之,zhī,難,nán,之,zhī,者,zhě,豫,xī,歸,guī,焉,yān,有,yǒu,有,yǒu,,bù,有,yǒu,一,yī,尚,shàng,自,zì,為,wéi,燕,yàn,結,jié,知,bái,之,zhě,生,shēng,左,zuǒ,"天
地",tiān,者,zhě,,wù,言,yán,之,zhī,吾,wú,以,yǐ,以,yǐ,,,不,bù,為,wéi,之,zhī,厚,hòu,拙,zhuō,知,zhī,人,rén,為,wéi,德,dé,十,shí,道,dào,其,mǔ,除,chú,乃,nǎi,柔,róu,同,tóng,"天
下",tiān,兮,xī,德,dé,不,bù,故,gù,加,jiā,必,bì,之,zhī,以,yǐ,聖,shèng,也,yě,下,xià,行,xíng,無,wú,病,bìng,以,yǐ,知,zhī,而,ér,以,yǐ,枯,kū,者,zhě,之,zhī,有,yǒu,舟,zhōu,知,zhī
25,故,cháng,相,shēng,心,xīn,同,tóng,其,qí,勤,qín,人,rén,地,dì,富,fù,乎,hū,用,yòng,得,dé,若,ruò,不,bù kě,兮,ruò,根,gēn,悠,yōu,忠,zhōng,此,cǐ,畏,wèi,物,wù,為,wéi,不能,bù néng,矜,jīn,"天
地",tiān,處,chǔ,無,wú,其,shǒu,執,shī,焉,yān,用,yòng,,dì,有,yǒu,而,ér,淡,dàn,將,jiāng,將,jiāng,為,wéi,盈,yíng,,,笑,xiào,和,hé,有,yì,亡,wáng,大,dà,足,zú,不,bù,取,qǔ,善,shàn,有,yǒu,之,zhī,母,mò,田,tián,真,zhēn,而,ér,其,qí,,xià,禍,huò,則,zé,傷,shāng,大,dà,人,rén,作,zuò,於,yú,智,zhì,人,rén,夫,fū,是,shì,攘,rǎng,知,zhī,是,shì,不,bù,其,qí,殺,shā,難,nán,槁,gǎo,補,bǔ,勝,shèng,德,dé,輿,yú,聖,shèng
26,"常
無
欲",wú,生,nán,不,bù,其,qí,猶,yóu,,,後,hòu,心,xīn,貴,guì,愛,ài,鑿,záo,之,zhī,驚,jīng,"可
致",zhì,若,dōng,曰,yuē,兮,xī,臣,chén,三,sān,荒,huāng,窈,yǎo,"天
下",tiān xià,久,jiǔ,者,zhě,,dì,超,chāo,繩,shéng,白,qí,者,zhī,大,dà,兵,bīng,相,xiāng,志,zhì,不,bù,乎,hū,欲,yù,鎮,zhèn,下,xià,"萬
物",wàn,,,不足,bù zú,人,rén,之,bù,知,zhī,辯,biàn,咎,jiù,行,xíng,"天
下",tiān,信,xìn,三,sān,尊,zūn,沒,shēn,甚,shèn,修,xiū,握,wò,塵,chén,多,duō,之,zhī,無,wú,人,rén,國,guó,人,rén,於,yú,未,wèi,治,zhì,欲,yù,我,wǒ,謂,wèi,無,wú,是,shì,以,yǐ,厭,yàn,故,gù,之,zhī,治,zhì,故,gù,之,zhī,強,qiáng,司,sī,無,wú,人,rén
